# Jeu de donnees de calibration - broyage a boulets (x50 mesures)
# SOURCE : Colorado-Arango L., Menendez-Aguado J.M., Osorio-Correa A. (2021).
#   "Particle Size Distribution Models for Metallurgical Coke Grinding Products."
#   Metals 11(8):1288. https://doi.org/10.3390/met11081288  (Open Access, CC-BY)
# Table 3 : x50 mesure (Swebrec) selon temps de broyage et taille de boulet.
# Conditions fixes : F80=3350 um (100% <6 mesh), Jb=0.30, U=1.0, phi_c=0.75,
#   broyeur laboratoire 0.20 m x 0.20 m, voie SECHE. Materiau : coke metallurgique.
# Colonnes : temps_min, taille_boulet_mm, x50_mesure_um
temps_min,taille_boulet_mm,x50_mesure_um
0.5,25.4,1015
1.0,25.4,850
2.0,25.4,830
3.0,25.4,512
4.0,25.4,450
5.0,25.4,390
6.0,25.4,280
10.0,25.4,265
0.5,30.0,1520
1.0,30.0,1400
2.0,30.0,1250
3.0,30.0,800
4.0,30.0,790
5.0,30.0,420
6.0,30.0,380
10.0,30.0,225
0.5,40.0,1605
1.0,40.0,1380
2.0,40.0,725
3.0,40.0,360
4.0,40.0,380
5.0,40.0,300
6.0,40.0,216
10.0,40.0,190
