# Jeu de reference de calibration - hydrocyclone (d50c calcule par Plitt 1976)
# SOURCE de la correlation : Plitt L.R. (1976), 'A mathematical model of the
#   hydrocyclone classifier', CIM Bulletin 69(776):114-123. Forme standard reprise
#   dans AMIT 145 (University of Alaska Fairbanks, mineral processing course) :
#   d50c = 11.93 * Dc^0.66 / (P^0.28 * (rho_s-1)^0.5) * exp(poly en CV).
# Conditions fixees pour isoler diametre et pression : rho_s=2.65 (silice), CV=10%.
# d50c en um, Dc en cm, P en kPa. Ces d50 sont CALCULES par Plitt (reference), pas
#   des mesures brutes ; Plitt 1976 est le standard minieralurgique valide.
diameter_cm,pressure_kpa,rho_s,CV_pct,d50_um
5,50,2.65,10.0,12.83
5,100,2.65,10.0,10.57
5,150,2.65,10.0,9.43
5,200,2.65,10.0,8.7
5,250,2.65,10.0,8.18
10,50,2.65,10.0,20.28
10,100,2.65,10.0,16.7
10,150,2.65,10.0,14.91
10,200,2.65,10.0,13.75
10,250,2.65,10.0,12.92
15,50,2.65,10.0,26.5
15,100,2.65,10.0,21.82
15,150,2.65,10.0,19.48
15,200,2.65,10.0,17.97
15,250,2.65,10.0,16.88
20,50,2.65,10.0,32.04
20,100,2.65,10.0,26.39
20,150,2.65,10.0,23.55
20,200,2.65,10.0,21.73
20,250,2.65,10.0,20.41
30,50,2.65,10.0,41.87
30,100,2.65,10.0,34.48
30,150,2.65,10.0,30.78
30,200,2.65,10.0,28.4
30,250,2.65,10.0,26.68
40,50,2.65,10.0,50.62
40,100,2.65,10.0,41.69
40,150,2.65,10.0,37.22
40,200,2.65,10.0,34.34
40,250,2.65,10.0,32.26
50,50,2.65,10.0,58.65
50,100,2.65,10.0,48.31
50,150,2.65,10.0,43.12
50,200,2.65,10.0,39.78
50,250,2.65,10.0,37.37
