sample,mill_speed_percent_Nc,ball_diameter_mm,feed_size_upper_um,specific_rate_breakage_Si_min^-1,Sn_yield_percent,Ta_yield_percent,Nb_yield_percent
Bedrock,75,19.0,75,0.044,28,33,27
Bedrock,75,19.0,125,0.125,56,57,52
Bedrock,75,19.0,250,0.145,64,45,70
Bedrock,75,19.0,500,0.153,48,76,63
Bedrock,75,19.0,1000,0.267,80,89,84
Bedrock,75,19.0,2000,0.413,98,99,93
Bedrock,75,19.0,3350,0.677,91,68,92
Bedrock,75,22.3,75,0.055,33,42,36
Bedrock,75,22.3,125,0.107,47,46,41
Bedrock,75,22.3,250,0.163,48,55,49
Bedrock,75,22.3,500,0.158,51,75,78
Bedrock,75,22.3,1000,0.287,81,88,85
Bedrock,75,22.3,2000,0.504,99,97,93
Bedrock,75,22.3,3350,0.761,100,100,100
Bedrock,75,31.75,75,0.043,27,29,28
Bedrock,75,31.75,125,0.124,53,50,50
Bedrock,75,31.75,250,0.176,48,56,51
Bedrock,75,31.75,500,0.131,41,66,66
Bedrock,75,31.75,1000,0.164,57,72,66
Bedrock,75,31.75,2000,0.24,94,93,84
Bedrock,75,31.75,3350,0.365,91,71,90
